R, км||V, км/с||Tet, рад||I, рад||Omega, рад||U, рад||T, с
 8403.141, км||    4.076, км/с||   -0.168, рад||    0.017, рад||    0.523, рад||    0.087, рад||  184.000, с
 8402.459, км||    4.077, км/с||   -0.169, рад||    0.017, рад||    0.523, рад||    0.088, рад||  185.000, с
 8401.772, км||    4.078, км/с||   -0.170, рад||    0.017, рад||    0.523, рад||    0.088, рад||  186.000, с
 8401.082, км||    4.079, км/с||   -0.171, рад||    0.017, рад||    0.523, рад||    0.089, рад||  187.000, с
 8400.388, км||    4.080, км/с||   -0.171, рад||    0.017, рад||    0.523, рад||    0.089, рад||  188.000, с
 8399.690, км||    4.081, км/с||   -0.172, рад||    0.017, рад||    0.523, рад||    0.090, рад||  189.000, с
 8398.989, км||    4.082, км/с||   -0.173, рад||    0.017, рад||    0.523, рад||    0.090, рад||  190.000, с
 8398.284, км||    4.083, км/с||   -0.174, рад||    0.017, рад||    0.523, рад||    0.090, рад||  191.000, с
 8397.575, км||    4.084, км/с||   -0.175, рад||    0.017, рад||    0.523, рад||    0.091, рад||  192.000, с
 8396.862, км||    4.085, км/с||   -0.176, рад||    0.017, рад||    0.523, рад||    0.091, рад||  193.000, с
 8396.146, км||    4.086, км/с||   -0.177, рад||    0.017, рад||    0.523, рад||    0.092, рад||  194.000, с
 8395.426, км||    4.087, км/с||   -0.178, рад||    0.017, рад||    0.523, рад||    0.092, рад||  195.000, с
 8394.702, км||    4.088, км/с||   -0.178, рад||    0.017, рад||    0.523, рад||    0.093, рад||  196.000, с
 8393.974, км||    4.089, км/с||   -0.179, рад||    0.017, рад||    0.523, рад||    0.093, рад||  197.000, с
 8393.243, км||    4.090, км/с||   -0.180, рад||    0.017, рад||    0.523, рад||    0.094, рад||  198.000, с
 8392.508, км||    4.091, км/с||   -0.181, рад||    0.017, рад||    0.523, рад||    0.094, рад||  199.000, с
 8391.769, км||    4.092, км/с||   -0.182, рад||    0.017, рад||    0.523, рад||    0.095, рад||  200.000, с
 8391.027, км||    4.093, км/с||   -0.183, рад||    0.017, рад||    0.523, рад||    0.095, рад||  201.000, с
 8390.281, км||    4.094, км/с||   -0.184, рад||    0.017, рад||    0.523, рад||    0.096, рад||  202.000, с
 8389.531, км||    4.095, км/с||   -0.185, рад||    0.017, рад||    0.523, рад||    0.096, рад||  203.000, с
 8388.777, км||    4.096, км/с||   -0.186, рад||    0.017, рад||    0.523, рад||    0.097, рад||  204.000, с
 8388.020, км||    4.097, км/с||   -0.186, рад||    0.017, рад||    0.523, рад||    0.097, рад||  205.000, с
 8387.259, км||    4.098, км/с||   -0.187, рад||    0.017, рад||    0.523, рад||    0.098, рад||  206.000, с
 8386.494, км||    4.099, км/с||   -0.188, рад||    0.017, рад||    0.523, рад||    0.098, рад||  207.000, с
 8385.725, км||    4.100, км/с||   -0.189, рад||    0.017, рад||    0.523, рад||    0.099, рад||  208.000, с
 8384.953, км||    4.101, км/с||   -0.190, рад||    0.017, рад||    0.523, рад||    0.099, рад||  209.000, с
 8384.176, км||    4.102, км/с||   -0.191, рад||    0.017, рад||    0.523, рад||    0.100, рад||  210.000, с
 8383.397, км||    4.103, км/с||   -0.192, рад||    0.017, рад||    0.523, рад||    0.100, рад||  211.000, с
 8382.613, км||    4.104, км/с||   -0.193, рад||    0.017, рад||    0.523, рад||    0.101, рад||  212.000, с
 8381.826, км||    4.105, км/с||   -0.193, рад||    0.017, рад||    0.523, рад||    0.101, рад||  213.000, с
 8381.035, км||    4.106, км/с||   -0.194, рад||    0.017, рад||    0.523, рад||    0.102, рад||  214.000, с
 8380.240, км||    4.108, км/с||   -0.195, рад||    0.017, рад||    0.523, рад||    0.102, рад||  215.000, с
 8379.441, км||    4.109, км/с||   -0.196, рад||    0.017, рад||    0.523, рад||    0.102, рад||  216.000, с
 8378.639, км||    4.110, км/с||   -0.197, рад||    0.017, рад||    0.523, рад||    0.103, рад||  217.000, с
 8377.833, км||    4.111, км/с||   -0.198, рад||    0.017, рад||    0.523, рад||    0.103, рад||  218.000, с
 8377.023, км||    4.112, км/с||   -0.199, рад||    0.017, рад||    0.523, рад||    0.104, рад||  219.000, с
 8376.209, км||    4.113, км/с||   -0.200, рад||    0.017, рад||    0.523, рад||    0.104, рад||  220.000, с
 8375.392, км||    4.114, км/с||   -0.200, рад||    0.017, рад||    0.523, рад||    0.105, рад||  221.000, с
 8374.571, км||    4.115, км/с||   -0.201, рад||    0.017, рад||    0.523, рад||    0.105, рад||  222.000, с
 8373.746, км||    4.117, км/с||   -0.202, рад||    0.017, рад||    0.523, рад||    0.106, рад||  223.000, с
 8372.918, км||    4.118, км/с||   -0.203, рад||    0.017, рад||    0.523, рад||    0.106, рад||  224.000, с
 8372.086, км||    4.119, км/с||   -0.204, рад||    0.017, рад||    0.523, рад||    0.107, рад||  225.000, с
 8371.250, км||    4.120, км/с||   -0.205, рад||    0.017, рад||    0.523, рад||    0.107, рад||  226.000, с
 8370.410, км||    4.121, км/с||   -0.206, рад||    0.017, рад||    0.523, рад||    0.108, рад||  227.000, с
 8369.566, км||    4.122, км/с||   -0.207, рад||    0.017, рад||    0.523, рад||    0.108, рад||  228.000, с
 8368.719, км||    4.123, км/с||   -0.207, рад||    0.017, рад||    0.523, рад||    0.109, рад||  229.000, с
 8367.868, км||    4.125, км/с||   -0.208, рад||    0.017, рад||    0.523, рад||    0.109, рад||  230.000, с
 8367.013, км||    4.126, км/с||   -0.209, рад||    0.017, рад||    0.523, рад||    0.110, рад||  231.000, с
 8366.155, км||    4.127, км/с||   -0.210, рад||    0.017, рад||    0.523, рад||    0.110, рад||  232.000, с
 8365.292, км||    4.128, км/с||   -0.211, рад||    0.017, рад||    0.523, рад||    0.111, рад||  233.000, с
 8364.426, км||    4.129, км/с||   -0.212, рад||    0.017, рад||    0.523, рад||    0.111, рад||  234.000, с
 8363.556, км||    4.131, км/с||   -0.213, рад||    0.017, рад||    0.523, рад||    0.112, рад||  235.000, с
 8362.683, км||    4.132, км/с||   -0.213, рад||    0.017, рад||    0.523, рад||    0.112, рад||  236.000, с
 8361.806, км||    4.133, км/с||   -0.214, рад||    0.017, рад||    0.523, рад||    0.113, рад||  237.000, с
 8360.925, км||    4.134, км/с||   -0.215, рад||    0.017, рад||    0.523, рад||    0.113, рад||  238.000, с
 8360.040, км||    4.135, км/с||   -0.216, рад||    0.017, рад||    0.523, рад||    0.114, рад||  239.000, с
 8359.151, км||    4.137, км/с||   -0.217, рад||    0.017, рад||    0.523, рад||    0.114, рад||  240.000, с
 8358.259, км||    4.138, км/с||   -0.218, рад||    0.017, рад||    0.523, рад||    0.115, рад||  241.000, с
