R, км||V, км/с||Tet, рад||I, рад||Omega, рад||U, рад||T, с
 8940.441, км||    7.630, км/с||    0.025, рад||    1.396, рад||    0.523, рад||    0.740, рад||  122.000, с
 8940.634, км||    7.630, км/с||    0.025, рад||    1.396, рад||    0.523, рад||    0.741, рад||  123.000, с
 8940.828, км||    7.630, км/с||    0.026, рад||    1.396, рад||    0.523, рад||    0.741, рад||  124.000, с
 8941.024, км||    7.630, км/с||    0.026, рад||    1.396, рад||    0.523, рад||    0.742, рад||  125.000, с
 8941.221, км||    7.630, км/с||    0.026, рад||    1.396, рад||    0.523, рад||    0.743, рад||  126.000, с
 8941.420, км||    7.630, км/с||    0.026, рад||    1.396, рад||    0.523, рад||    0.744, рад||  127.000, с
 8941.621, км||    7.629, км/с||    0.026, рад||    1.396, рад||    0.523, рад||    0.745, рад||  128.000, с
 8941.823, км||    7.629, км/с||    0.027, рад||    1.396, рад||    0.523, рад||    0.746, рад||  129.000, с
 8942.026, км||    7.629, км/с||    0.027, рад||    1.396, рад||    0.523, рад||    0.747, рад||  130.000, с
 8942.231, км||    7.629, км/с||    0.027, рад||    1.396, рад||    0.523, рад||    0.747, рад||  131.000, с
 8942.438, км||    7.629, км/с||    0.027, рад||    1.396, рад||    0.523, рад||    0.748, рад||  132.000, с
 8942.646, км||    7.629, км/с||    0.027, рад||    1.396, рад||    0.523, рад||    0.749, рад||  133.000, с
 8942.856, км||    7.629, км/с||    0.028, рад||    1.396, рад||    0.523, рад||    0.750, рад||  134.000, с
 8943.067, км||    7.629, км/с||    0.028, рад||    1.396, рад||    0.523, рад||    0.751, рад||  135.000, с
 8943.279, км||    7.628, км/с||    0.028, рад||    1.396, рад||    0.523, рад||    0.752, рад||  136.000, с
 8943.494, км||    7.628, км/с||    0.028, рад||    1.396, рад||    0.523, рад||    0.752, рад||  137.000, с
 8943.709, км||    7.628, км/с||    0.028, рад||    1.396, рад||    0.523, рад||    0.753, рад||  138.000, с
 8943.927, км||    7.628, км/с||    0.029, рад||    1.396, рад||    0.523, рад||    0.754, рад||  139.000, с
 8944.145, км||    7.628, км/с||    0.029, рад||    1.396, рад||    0.523, рад||    0.755, рад||  140.000, с
 8944.366, км||    7.628, км/с||    0.029, рад||    1.396, рад||    0.523, рад||    0.756, рад||  141.000, с
 8944.587, км||    7.627, км/с||    0.029, рад||    1.396, рад||    0.523, рад||    0.757, рад||  142.000, с
 8944.811, км||    7.627, км/с||    0.029, рад||    1.396, рад||    0.523, рад||    0.758, рад||  143.000, с
 8945.035, км||    7.627, км/с||    0.030, рад||    1.396, рад||    0.523, рад||    0.758, рад||  144.000, с
 8945.262, км||    7.627, км/с||    0.030, рад||    1.396, рад||    0.523, рад||    0.759, рад||  145.000, с
 8945.490, км||    7.627, км/с||    0.030, рад||    1.396, рад||    0.523, рад||    0.760, рад||  146.000, с
 8945.719, км||    7.627, км/с||    0.030, рад||    1.396, рад||    0.523, рад||    0.761, рад||  147.000, с
 8945.950, км||    7.627, км/с||    0.030, рад||    1.396, рад||    0.523, рад||    0.762, рад||  148.000, с
 8946.182, км||    7.626, км/с||    0.031, рад||    1.396, рад||    0.523, рад||    0.763, рад||  149.000, с
 8946.416, км||    7.626, км/с||    0.031, рад||    1.396, рад||    0.523, рад||    0.764, рад||  150.000, с
 8946.651, км||    7.626, км/с||    0.031, рад||    1.396, рад||    0.523, рад||    0.764, рад||  151.000, с
 8946.888, км||    7.626, км/с||    0.031, рад||    1.396, рад||    0.523, рад||    0.765, рад||  152.000, с
 8947.127, км||    7.626, км/с||    0.031, рад||    1.396, рад||    0.523, рад||    0.766, рад||  153.000, с
 8947.367, км||    7.626, км/с||    0.032, рад||    1.396, рад||    0.523, рад||    0.767, рад||  154.000, с
 8947.608, км||    7.625, км/с||    0.032, рад||    1.396, рад||    0.523, рад||    0.768, рад||  155.000, с
 8947.851, км||    7.625, км/с||    0.032, рад||    1.396, рад||    0.523, рад||    0.769, рад||  156.000, с
 8948.096, км||    7.625, км/с||    0.032, рад||    1.396, рад||    0.523, рад||    0.770, рад||  157.000, с
 8948.342, км||    7.625, км/с||    0.032, рад||    1.396, рад||    0.523, рад||    0.770, рад||  158.000, с
 8948.589, км||    7.625, км/с||    0.033, рад||    1.396, рад||    0.523, рад||    0.771, рад||  159.000, с
 8948.838, км||    7.625, км/с||    0.033, рад||    1.396, рад||    0.523, рад||    0.772, рад||  160.000, с
 8949.089, км||    7.624, км/с||    0.033, рад||    1.396, рад||    0.523, рад||    0.773, рад||  161.000, с
 8949.341, км||    7.624, км/с||    0.033, рад||    1.396, рад||    0.523, рад||    0.774, рад||  162.000, с
 8949.595, км||    7.624, км/с||    0.033, рад||    1.396, рад||    0.523, рад||    0.775, рад||  163.000, с
 8949.850, км||    7.624, км/с||    0.034, рад||    1.396, рад||    0.523, рад||    0.775, рад||  164.000, с
 8950.106, км||    7.624, км/с||    0.034, рад||    1.396, рад||    0.523, рад||    0.776, рад||  165.000, с
 8950.364, км||    7.624, км/с||    0.034, рад||    1.396, рад||    0.523, рад||    0.777, рад||  166.000, с
 8950.624, км||    7.623, км/с||    0.034, рад||    1.396, рад||    0.523, рад||    0.778, рад||  167.000, с
 8950.885, км||    7.623, км/с||    0.034, рад||    1.396, рад||    0.523, рад||    0.779, рад||  168.000, с
 8951.148, км||    7.623, км/с||    0.035, рад||    1.396, рад||    0.523, рад||    0.780, рад||  169.000, с
 8951.412, км||    7.623, км/с||    0.035, рад||    1.396, рад||    0.523, рад||    0.781, рад||  170.000, с
 8951.678, км||    7.623, км/с||    0.035, рад||    1.396, рад||    0.523, рад||    0.781, рад||  171.000, с
 8951.945, км||    7.623, км/с||    0.035, рад||    1.396, рад||    0.523, рад||    0.782, рад||  172.000, с
 8952.214, км||    7.622, км/с||    0.035, рад||    1.396, рад||    0.523, рад||    0.783, рад||  173.000, с
 8952.484, км||    7.622, км/с||    0.036, рад||    1.396, рад||    0.523, рад||    0.784, рад||  174.000, с
 8952.756, км||    7.622, км/с||    0.036, рад||    1.396, рад||    0.523, рад||    0.785, рад||  175.000, с
 8953.029, км||    7.622, км/с||    0.036, рад||    1.396, рад||    0.523, рад||    0.786, рад||  176.000, с
 8953.304, км||    7.622, км/с||    0.036, рад||    1.396, рад||    0.523, рад||    0.787, рад||  177.000, с
 8953.580, км||    7.621, км/с||    0.036, рад||    1.396, рад||    0.523, рад||    0.787, рад||  178.000, с
 8953.858, км||    7.621, км/с||    0.037, рад||    1.396, рад||    0.523, рад||    0.788, рад||  179.000, с
 8954.137, км||    7.621, км/с||    0.037, рад||    1.396, рад||    0.523, рад||    0.789, рад||  180.000, с
 8954.418, км||    7.621, км/с||    0.037, рад||    1.396, рад||    0.523, рад||    0.790, рад||  181.000, с
 8954.700, км||    7.621, км/с||    0.037, рад||    1.396, рад||    0.523, рад||    0.791, рад||  182.000, с
 8954.984, км||    7.621, км/с||    0.037, рад||    1.396, рад||    0.523, рад||    0.792, рад||  183.000, с
 8955.269, км||    7.620, км/с||    0.038, рад||    1.396, рад||    0.523, рад||    0.792, рад||  184.000, с
 8955.556, км||    7.620, км/с||    0.038, рад||    1.396, рад||    0.523, рад||    0.793, рад||  185.000, с
 8955.844, км||    7.620, км/с||    0.038, рад||    1.396, рад||    0.523, рад||    0.794, рад||  186.000, с
 8956.134, км||    7.620, км/с||    0.038, рад||    1.396, рад||    0.523, рад||    0.795, рад||  187.000, с
